rank,sjis_code,lead,trail
153,0xEBD9,0xEB,0xD9
154,0xEBDA,0xEB,0xDA
155,0xEBDB,0xEB,0xDB
156,0xEBDC,0xEB,0xDC
157,0xEBDD,0xEB,0xDD
158,0xEBDE,0xEB,0xDE
159,0xEBDF,0xEB,0xDF
160,0xEBE0,0xEB,0xE0
161,0xEBE1,0xEB,0xE1
162,0xEBE2,0xEB,0xE2
163,0xEBE3,0xEB,0xE3
164,0xEBE4,0xEB,0xE4
165,0xEBE5,0xEB,0xE5
166,0xEBE6,0xEB,0xE6
167,0xEBE7,0xEB,0xE7
168,0xEBE8,0xEB,0xE8
169,0xEBE9,0xEB,0xE9
170,0xEBEA,0xEB,0xEA
171,0xEBEB,0xEB,0xEB
172,0xEBEC,0xEB,0xEC
173,0xEBED,0xEB,0xED
174,0xEBEE,0xEB,0xEE
175,0xEBEF,0xEB,0xEF
176,0xEBF0,0xEB,0xF0
177,0xEBF1,0xEB,0xF1
178,0xEBF2,0xEB,0xF2
179,0xEBF3,0xEB,0xF3
180,0xEBF4,0xEB,0xF4
181,0xEBF5,0xEB,0xF5
182,0xEBF6,0xEB,0xF6
183,0xEBF7,0xEB,0xF7
184,0xEBF8,0xEB,0xF8
185,0xEBF9,0xEB,0xF9
186,0xEBFA,0xEB,0xFA
187,0xEBFB,0xEB,0xFB
188,0xEBFC,0xEB,0xFC
189,0xEC40,0xEC,0x40
190,0xEC41,0xEC,0x41
191,0xEC42,0xEC,0x42
192,0xEC43,0xEC,0x43
193,0xEC44,0xEC,0x44
194,0xEC45,0xEC,0x45
195,0xEC46,0xEC,0x46
196,0xEC47,0xEC,0x47
197,0xEC48,0xEC,0x48
198,0xEC49,0xEC,0x49
199,0xEC4A,0xEC,0x4A
200,0xEC4B,0xEC,0x4B
201,0xEC4C,0xEC,0x4C
202,0xEC4D,0xEC,0x4D
203,0xEC4E,0xEC,0x4E
204,0xEC4F,0xEC,0x4F
205,0xEC50,0xEC,0x50
206,0xEC51,0xEC,0x51
207,0xEC52,0xEC,0x52
208,0xEC53,0xEC,0x53
209,0xEC54,0xEC,0x54
210,0xEC55,0xEC,0x55
211,0xEC56,0xEC,0x56
212,0xEC57,0xEC,0x57
213,0xEC58,0xEC,0x58
214,0xEC59,0xEC,0x59
215,0xEC5A,0xEC,0x5A
216,0xEC5B,0xEC,0x5B
217,0xEC5C,0xEC,0x5C
218,0xEC5D,0xEC,0x5D
219,0xEC5E,0xEC,0x5E
220,0xEC5F,0xEC,0x5F
221,0xEC60,0xEC,0x60
222,0xEC61,0xEC,0x61
223,0xEC62,0xEC,0x62
224,0xEC63,0xEC,0x63
225,0xEC64,0xEC,0x64
226,0xEC65,0xEC,0x65
227,0xEC66,0xEC,0x66
228,0xEC67,0xEC,0x67
229,0xEC68,0xEC,0x68
230,0xEC69,0xEC,0x69
231,0xEC6A,0xEC,0x6A
232,0xEC6B,0xEC,0x6B
233,0xEC6C,0xEC,0x6C
234,0xEC6D,0xEC,0x6D
235,0xEC6E,0xEC,0x6E
236,0xEC6F,0xEC,0x6F
237,0xEC70,0xEC,0x70
238,0xEC71,0xEC,0x71
239,0xEC72,0xEC,0x72
240,0xEC73,0xEC,0x73
241,0xEC74,0xEC,0x74
242,0xEC75,0xEC,0x75
243,0xEC76,0xEC,0x76
244,0xEC77,0xEC,0x77
245,0xEC78,0xEC,0x78
246,0xEC79,0xEC,0x79
247,0xEC7A,0xEC,0x7A
248,0xEC7B,0xEC,0x7B
249,0xEC7C,0xEC,0x7C
250,0xEC7D,0xEC,0x7D
251,0xEC7E,0xEC,0x7E
252,0xEC80,0xEC,0x80
253,0xEC81,0xEC,0x81
254,0xEC82,0xEC,0x82
255,0xEC83,0xEC,0x83
256,0xEC84,0xEC,0x84
257,0xEC85,0xEC,0x85
258,0xEC86,0xEC,0x86
259,0xEC87,0xEC,0x87
260,0xEC88,0xEC,0x88
261,0xEC89,0xEC,0x89
262,0xEC8A,0xEC,0x8A
263,0xEC8B,0xEC,0x8B
264,0xEC8C,0xEC,0x8C
265,0xEC8D,0xEC,0x8D
266,0xEC8E,0xEC,0x8E
267,0xEC8F,0xEC,0x8F
268,0xEC90,0xEC,0x90
269,0xEC91,0xEC,0x91
270,0xEC92,0xEC,0x92
271,0xEC93,0xEC,0x93
272,0xEC94,0xEC,0x94
273,0xEC95,0xEC,0x95
274,0xEC96,0xEC,0x96
275,0xEC97,0xEC,0x97
276,0xEC98,0xEC,0x98
277,0xEC99,0xEC,0x99
278,0xEC9A,0xEC,0x9A
279,0xEC9B,0xEC,0x9B
280,0xEC9C,0xEC,0x9C
281,0xEC9D,0xEC,0x9D
282,0xEC9E,0xEC,0x9E
283,0xEC9F,0xEC,0x9F
284,0xECA0,0xEC,0xA0
285,0xECA1,0xEC,0xA1
286,0xECA2,0xEC,0xA2
287,0xECA3,0xEC,0xA3
288,0xECA4,0xEC,0xA4
289,0xECA5,0xEC,0xA5
290,0xECA6,0xEC,0xA6
291,0xECA7,0xEC,0xA7
292,0xECA8,0xEC,0xA8
293,0xECA9,0xEC,0xA9
294,0xECAA,0xEC,0xAA
295,0xECAB,0xEC,0xAB
296,0xECAC,0xEC,0xAC
297,0xECAD,0xEC,0xAD
298,0xECAE,0xEC,0xAE
299,0xECAF,0xEC,0xAF
300,0xECB0,0xEC,0xB0
301,0xECB1,0xEC,0xB1
302,0xECB2,0xEC,0xB2
303,0xECB3,0xEC,0xB3
304,0xECB4,0xEC,0xB4
305,0xECB5,0xEC,0xB5
306,0xECB6,0xEC,0xB6
307,0xECB7,0xEC,0xB7
308,0xECB8,0xEC,0xB8
309,0xECB9,0xEC,0xB9
310,0xECBA,0xEC,0xBA
311,0xECBB,0xEC,0xBB
312,0xECBC,0xEC,0xBC
313,0xECBD,0xEC,0xBD
314,0xECBE,0xEC,0xBE
315,0xECBF,0xEC,0xBF
316,0xECC0,0xEC,0xC0
317,0xECC1,0xEC,0xC1
318,0xECC2,0xEC,0xC2
319,0xECC3,0xEC,0xC3
320,0xECC4,0xEC,0xC4
321,0xECC5,0xEC,0xC5
322,0xECC6,0xEC,0xC6
323,0xECC7,0xEC,0xC7
324,0xECC8,0xEC,0xC8
325,0xECC9,0xEC,0xC9
326,0xECCA,0xEC,0xCA
327,0xECCB,0xEC,0xCB
328,0xECCC,0xEC,0xCC
329,0xECCD,0xEC,0xCD
330,0xECCE,0xEC,0xCE
331,0xECCF,0xEC,0xCF
332,0xECD0,0xEC,0xD0
333,0xECD1,0xEC,0xD1
334,0xECD2,0xEC,0xD2
335,0xECD3,0xEC,0xD3
336,0xECD4,0xEC,0xD4
337,0xECD5,0xEC,0xD5
338,0xECD6,0xEC,0xD6
339,0xECD7,0xEC,0xD7
340,0xECD8,0xEC,0xD8
341,0xECD9,0xEC,0xD9
342,0xECDA,0xEC,0xDA
343,0xECDB,0xEC,0xDB
344,0xECDC,0xEC,0xDC
345,0xECDD,0xEC,0xDD
346,0xECDE,0xEC,0xDE
347,0xECDF,0xEC,0xDF
